id_evento,volcan,region,fecha_evento,magnitud,nivel_peligro
1,Osorno,Maule,2020-01-01,3.3,Verde
2,Llaima,Araucanía,2020-01-02,6.84,Amarillo
3,Lonquimay,Maule,2020-01-03,7.45,Verde
4,Tupungatito,Metropolitana,2020-01-04,6.01,Verde
5,Lonquimay,Los Lagos,2020-01-05,5.24,Amarillo
6,Villarrica,Araucanía,2020-01-06,3.64,Verde
7,Tupungatito,Los Lagos,2020-01-07,3.32,Verde
8,Osorno,Maule,2020-01-08,5.11,Verde
9,Villarrica,Biobío,2020-01-09,4.51,Verde
10,Villarrica,Maule,2020-01-10,6.48,Verde
11,Osorno,Biobío,2020-01-11,2.99,Amarillo
12,Nevados de Chillán,Araucanía,2020-01-12,4.23,Naranja
13,Lonquimay,Biobío,2020-01-13,4.62,Verde
14,Calbuco,Biobío,2020-01-14,1.19,Verde
15,Calbuco,Biobío,2020-01-15,3.61,Verde
16,Llaima,Metropolitana,2020-01-16,7.68,Verde
17,Calbuco,Araucanía,2020-01-17,6.48,Naranja
18,Villarrica,Los Lagos,2020-01-18,4.58,Naranja
19,Tupungatito,Metropolitana,2020-01-19,2.1,Naranja
20,Villarrica,Metropolitana,2020-01-20,4.12,Naranja
21,Tupungatito,Metropolitana,2020-01-21,2.74,Verde
22,Calbuco,Metropolitana,2020-01-22,3.36,Amarillo
23,Nevados de Chillán,Los Lagos,2020-01-23,6.37,Amarillo
24,Tupungatito,Maule,2020-01-24,3.12,Verde
25,Nevados de Chillán,Metropolitana,2020-01-25,5.3,Amarillo
26,Villarrica,Maule,2020-01-26,7.69,Naranja
27,Llaima,Maule,2020-01-27,3.67,Verde
28,Nevados de Chillán,Los Lagos,2020-01-28,3.52,Amarillo
29,Llaima,Maule,2020-01-29,7.0,Naranja
30,Tupungatito,Biobío,2020-01-30,2.88,Naranja
31,Nevados de Chillán,Maule,2020-01-31,5.17,Amarillo
32,Villarrica,Araucanía,2020-02-01,7.2,Amarillo
33,Nevados de Chillán,Metropolitana,2020-02-02,6.96,Amarillo
34,Osorno,Araucanía,2020-02-03,2.69,Naranja
35,Nevados de Chillán,Metropolitana,2020-02-04,5.08,Amarillo
36,Llaima,Araucanía,2020-02-05,2.36,Verde
37,Nevados de Chillán,Araucanía,2020-02-06,1.34,Verde
38,Osorno,Maule,2020-02-07,3.94,Naranja
39,Villarrica,Metropolitana,2020-02-08,3.85,Verde
40,Calbuco,Maule,2020-02-09,1.27,Amarillo
41,Nevados de Chillán,Los Lagos,2020-02-10,3.95,Verde
42,Llaima,Biobío,2020-02-11,1.09,Naranja
43,Llaima,Biobío,2020-02-12,2.65,Amarillo
44,Osorno,Araucanía,2020-02-13,5.24,Amarillo
45,Villarrica,Araucanía,2020-02-14,1.05,Verde
46,Tupungatito,Biobío,2020-02-15,1.38,Naranja
47,Nevados de Chillán,Biobío,2020-02-16,2.34,Amarillo
48,Nevados de Chillán,Los Lagos,2020-02-17,5.43,Verde
49,Villarrica,Metropolitana,2020-02-18,4.37,Amarillo
50,Calbuco,Araucanía,2020-02-19,5.18,Amarillo
51,Nevados de Chillán,Metropolitana,2020-02-20,3.09,Verde
52,Nevados de Chillán,Los Lagos,2020-02-21,6.9,Verde
53,Tupungatito,Los Lagos,2020-02-22,5.95,Verde
54,Nevados de Chillán,Metropolitana,2020-02-23,7.02,Verde
55,Villarrica,Araucanía,2020-02-24,5.7,Amarillo
56,Calbuco,Maule,2020-02-25,6.23,Verde
57,Calbuco,Metropolitana,2020-02-26,1.1,Verde
58,Villarrica,Araucanía,2020-02-27,7.6,Amarillo
59,Nevados de Chillán,Los Lagos,2020-02-28,7.7,Amarillo
60,Calbuco,Araucanía,2020-02-29,6.53,Amarillo
61,Llaima,Maule,2020-03-01,1.35,Amarillo
62,Calbuco,Biobío,2020-03-02,4.13,Amarillo
63,Lonquimay,Maule,2020-03-03,5.73,Amarillo
64,Nevados de Chillán,Biobío,2020-03-04,3.35,Amarillo
65,Calbuco,Biobío,2020-03-05,1.69,Naranja
66,Nevados de Chillán,Biobío,2020-03-06,4.5,Amarillo
67,Tupungatito,Biobío,2020-03-07,5.88,Naranja
68,Calbuco,Maule,2020-03-08,3.28,Verde
69,Tupungatito,Maule,2020-03-09,1.35,Verde
70,Llaima,Maule,2020-03-10,7.41,Verde
71,Nevados de Chillán,Maule,2020-03-11,4.66,Verde
72,Tupungatito,Araucanía,2020-03-12,5.93,Naranja
73,Villarrica,Los Lagos,2020-03-13,6.05,Verde
74,Tupungatito,Los Lagos,2020-03-14,7.09,Amarillo
75,Osorno,Biobío,2020-03-15,7.25,Naranja
76,Osorno,Biobío,2020-03-16,7.99,Verde
77,Tupungatito,Biobío,2020-03-17,5.65,Naranja
78,Tupungatito,Metropolitana,2020-03-18,6.4,Amarillo
79,Tupungatito,Metropolitana,2020-03-19,1.48,Naranja
80,Tupungatito,Metropolitana,2020-03-20,1.17,Amarillo
81,Calbuco,Biobío,2020-03-21,3.46,Amarillo
82,Nevados de Chillán,Maule,2020-03-22,1.73,Verde
83,Calbuco,Los Lagos,2020-03-23,5.67,Verde
84,Villarrica,Biobío,2020-03-24,1.96,Amarillo
85,Calbuco,Los Lagos,2020-03-25,3.79,Rojo
86,Villarrica,Biobío,2020-03-26,3.88,Verde
87,Calbuco,Metropolitana,2020-03-27,2.19,Verde
88,Nevados de Chillán,Araucanía,2020-03-28,4.56,Verde
89,Tupungatito,Los Lagos,2020-03-29,5.91,Verde
90,Calbuco,Maule,2020-03-30,3.32,Naranja
91,Tupungatito,Metropolitana,2020-03-31,7.85,Verde
92,Calbuco,Maule,2020-04-01,5.88,Verde
93,Lonquimay,Los Lagos,2020-04-02,5.69,Amarillo
94,Llaima,Araucanía,2020-04-03,5.38,Amarillo
95,Villarrica,Los Lagos,2020-04-04,7.98,Verde
96,Nevados de Chillán,Biobío,2020-04-05,7.18,Verde
97,Osorno,Los Lagos,2020-04-06,5.72,Verde
98,Lonquimay,Maule,2020-04-07,5.13,Verde
99,Calbuco,Biobío,2020-04-08,6.59,Naranja
100,Nevados de Chillán,Los Lagos,2020-04-09,4.59,Amarillo
101,Calbuco,Araucanía,2020-04-10,4.13,Naranja
102,Calbuco,Araucanía,2020-04-11,5.19,Verde
103,Villarrica,Metropolitana,2020-04-12,3.75,Verde
104,Lonquimay,Los Lagos,2020-04-13,4.23,Verde
105,Tupungatito,Maule,2020-04-14,7.55,Amarillo
106,Nevados de Chillán,Los Lagos,2020-04-15,7.5,Naranja
107,Tupungatito,Metropolitana,2020-04-16,5.89,Verde
108,Tupungatito,Los Lagos,2020-04-17,7.12,Amarillo
109,Calbuco,Araucanía,2020-04-18,1.01,Verde
110,Llaima,Biobío,2020-04-19,3.02,Verde
111,Lonquimay,Metropolitana,2020-04-20,1.86,Naranja
112,Llaima,Maule,2020-04-21,6.86,Verde
113,Lonquimay,Araucanía,2020-04-22,4.87,Amarillo
114,Villarrica,Los Lagos,2020-04-23,5.26,Naranja
115,Calbuco,Maule,2020-04-24,1.3,Verde
116,Villarrica,Biobío,2020-04-25,6.8,Rojo
117,Lonquimay,Maule,2020-04-26,6.39,Verde
118,Villarrica,Maule,2020-04-27,6.59,Verde
119,Calbuco,Metropolitana,2020-04-28,2.87,Verde
120,Lonquimay,Biobío,2020-04-29,6.2,Verde
121,Calbuco,Maule,2020-04-30,7.41,Amarillo
122,Nevados de Chillán,Biobío,2020-05-01,3.15,Naranja
123,Llaima,Los Lagos,2020-05-02,4.97,Verde
124,Villarrica,Maule,2020-05-03,3.08,Amarillo
125,Osorno,Araucanía,2020-05-04,4.77,Amarillo
126,Villarrica,Metropolitana,2020-05-05,5.16,Verde
127,Llaima,Maule,2020-05-06,6.62,Rojo
128,Villarrica,Biobío,2020-05-07,1.81,Verde
129,Calbuco,Los Lagos,2020-05-08,2.07,Verde
130,Osorno,Maule,2020-05-09,3.95,Naranja
131,Lonquimay,Biobío,2020-05-10,4.26,Verde
132,Calbuco,Los Lagos,2020-05-11,3.25,Verde
133,Osorno,Maule,2020-05-12,4.99,Amarillo
134,Lonquimay,Araucanía,2020-05-13,2.6,Verde
135,Llaima,Biobío,2020-05-14,3.73,Naranja
136,Tupungatito,Los Lagos,2020-05-15,7.58,Verde
137,Villarrica,Los Lagos,2020-05-16,1.63,Naranja
138,Calbuco,Biobío,2020-05-17,2.21,Amarillo
139,Calbuco,Biobío,2020-05-18,7.24,Verde
140,Tupungatito,Maule,2020-05-19,3.44,Verde
141,Osorno,Maule,2020-05-20,2.0,Amarillo
142,Llaima,Metropolitana,2020-05-21,4.81,Verde
143,Lonquimay,Maule,2020-05-22,3.25,Verde
144,Lonquimay,Metropolitana,2020-05-23,5.12,Rojo
145,Nevados de Chillán,Biobío,2020-05-24,5.72,Verde
146,Lonquimay,Metropolitana,2020-05-25,1.32,Verde
147,Tupungatito,Araucanía,2020-05-26,5.96,Verde
148,Villarrica,Metropolitana,2020-05-27,2.57,Verde
149,Calbuco,Maule,2020-05-28,1.5,Naranja
150,Llaima,Biobío,2020-05-29,2.25,Naranja
151,Lonquimay,Maule,2020-05-30,5.75,Verde
152,Lonquimay,Los Lagos,2020-05-31,2.03,Verde
153,Lonquimay,Biobío,2020-06-01,4.55,Verde
154,Nevados de Chillán,Los Lagos,2020-06-02,3.4,Rojo
155,Villarrica,Maule,2020-06-03,6.55,Amarillo
156,Calbuco,Biobío,2020-06-04,4.35,Amarillo
157,Osorno,Araucanía,2020-06-05,4.05,Amarillo
158,Llaima,Araucanía,2020-06-06,1.38,Verde
159,Nevados de Chillán,Metropolitana,2020-06-07,5.57,Amarillo
160,Nevados de Chillán,Los Lagos,2020-06-08,6.94,Amarillo
161,Llaima,Los Lagos,2020-06-09,2.86,Verde
162,Osorno,Biobío,2020-06-10,2.35,Amarillo
163,Osorno,Los Lagos,2020-06-11,2.68,Amarillo
164,Villarrica,Biobío,2020-06-12,1.5,Verde
165,Calbuco,Araucanía,2020-06-13,2.56,Verde
166,Tupungatito,Maule,2020-06-14,1.53,Verde
167,Tupungatito,Biobío,2020-06-15,6.99,Verde
168,Llaima,Biobío,2020-06-16,5.71,Verde
169,Tupungatito,Metropolitana,2020-06-17,3.45,Verde
170,Calbuco,Los Lagos,2020-06-18,3.1,Amarillo
171,Calbuco,Metropolitana,2020-06-19,1.57,Verde
172,Calbuco,Maule,2020-06-20,3.21,Verde
173,Villarrica,Araucanía,2020-06-21,7.79,Verde
174,Calbuco,Biobío,2020-06-22,6.13,Amarillo
175,Tupungatito,Los Lagos,2020-06-23,4.75,Naranja
176,Nevados de Chillán,Los Lagos,2020-06-24,2.5,Naranja
177,Tupungatito,Araucanía,2020-06-25,7.19,Verde
178,Tupungatito,Araucanía,2020-06-26,3.72,Verde
179,Nevados de Chillán,Biobío,2020-06-27,7.07,Amarillo
180,Llaima,Biobío,2020-06-28,4.71,Rojo
181,Llaima,Metropolitana,2020-06-29,6.35,Verde
182,Osorno,Maule,2020-06-30,6.54,Verde
183,Villarrica,Metropolitana,2020-07-01,6.17,Verde
184,Villarrica,Biobío,2020-07-02,4.41,Verde
