Fecha,Magnitud,Profundidad_km,Duracion_seg,Distancia_km,Region,Danos
2010-01-01 00:00:00.000000000,5.2,352.3,75.8,165.6,Antofagasta,0
2010-01-01 06:25:39.462630842,8.7,524.0,103.4,408.6,Los Lagos,0
2010-01-01 12:51:18.925261684,7.4,396.1,144.1,497.2,Magallanes,0
2010-01-01 19:16:58.387892526,6.6,62.9,54.7,420.5,Tarapacá,0
2010-01-02 01:42:37.850523368,3.9,134.0,53.9,173.7,Valparaíso,0
2010-01-02 08:08:17.313154210,3.9,157.4,60.5,355.9,Tarapacá,0
2010-01-02 14:33:56.775785052,3.3,184.2,57.4,267.4,Los Ríos,0
2010-01-02 20:59:36.238415894,8.2,398.0,91.1,393.5,Metropolitana,0
2010-01-03 03:25:15.701046736,6.6,355.3,101.0,77.4,Valparaíso,0
2010-01-03 09:50:55.163677578,7.2,146.2,68.7,319.4,Ñuble,1
2010-01-03 16:16:34.626308420,3.1,52.0,35.7,387.1,Tarapacá,0
2010-01-03 22:42:14.088939262,8.8,124.1,162.2,380.9,Antofagasta,1
2010-01-04 05:07:53.551570104,8.0,689.1,154.0,481.8,O'Higgins,0
2010-01-04 11:33:33.014200946,4.3,330.6,67.9,30.1,Arica y Parinacota,0
2010-01-04 17:59:12.476831788,4.1,607.8,43.5,173.5,Maule,0
2010-01-05 00:24:51.939462630,4.1,594.9,70.9,238.8,Tarapacá,0
2010-01-05 06:50:31.402093472,4.8,360.5,25.9,155.6,O'Higgins,0
2010-01-05 13:16:10.864724314,6.1,496.1,39.9,155.6,O'Higgins,0
2010-01-05 19:41:50.327355157,5.6,139.0,83.6,88.9,O'Higgins,0
2010-01-06 02:07:29.789985999,4.7,483.4,44.0,406.7,Atacama,0
2010-01-06 08:33:09.252616841,6.7,194.3,129.1,454.1,Tarapacá,0
2010-01-06 14:58:48.715247683,3.8,583.3,43.9,42.1,Los Ríos,0
2010-01-06 21:24:28.177878525,4.8,63.2,54.9,78.3,Biobío,0
2010-01-07 03:50:07.640509367,5.2,542.3,78.9,115.0,Tarapacá,0
2010-01-07 10:15:47.103140209,5.7,74.5,94.1,255.0,Metropolitana,0
2010-01-07 16:41:26.565771051,7.7,617.4,93.4,395.8,Arica y Parinacota,1
2010-01-07 23:07:06.028401893,4.2,216.4,34.5,36.7,Tarapacá,0
2010-01-08 05:32:45.491032735,6.1,459.8,101.3,318.8,Los Lagos,0
2010-01-08 11:58:24.953663577,6.6,343.8,64.7,75.5,Magallanes,0
2010-01-08 18:24:04.416294419,3.3,259.6,25.2,485.8,Antofagasta,0
2010-01-09 00:49:43.878925261,6.6,453.6,95.5,449.5,Metropolitana,0
2010-01-09 07:15:23.341556103,4.0,663.5,25.4,474.8,Biobío,0
2010-01-09 13:41:02.804186945,3.4,33.7,66.5,54.0,La Araucanía,0
2010-01-09 20:06:42.266817787,8.7,643.6,126.0,244.5,O'Higgins,1
2010-01-10 02:32:21.729448629,8.8,428.3,174.1,83.5,Atacama,1
2010-01-10 08:58:01.192079471,7.9,566.1,79.7,300.6,Atacama,1
2010-01-10 15:23:40.654710314,4.8,271.8,93.9,117.1,Ñuble,0
2010-01-10 21:49:20.117341156,3.6,332.9,25.9,385.5,Arica y Parinacota,0
2010-01-11 04:14:59.579971998,7.1,608.9,39.8,322.4,Los Ríos,1
2010-01-11 10:40:39.042602840,5.6,293.3,30.8,286.2,Arica y Parinacota,0
2010-01-11 17:06:18.505233682,3.7,376.6,44.3,412.8,Metropolitana,0
